n,t,h
41470,1382.3333333333333,0
41471,1382.3666666666668,0
41472,1382.4,0
41473,1382.4333333333332,0
41474,1382.4666666666667,0
41475,1382.5,0
41476,1382.5333333333333,0
41477,1382.5666666666668,0
41478,1382.6,0
41479,1382.6333333333332,0
41480,1382.6666666666667,0
41481,1382.7,0
41482,1382.7333333333333,0
41483,1382.7666666666667,0
41484,1382.8,0
41485,1382.8333333333333,0
41486,1382.8666666666668,0
41487,1382.9,0
41488,1382.9333333333332,0
41489,1382.9666666666667,0
41490,1383.0,0
41491,1383.0333333333333,0
41492,1383.0666666666668,0
41493,1383.1,0
41494,1383.1333333333332,0
41495,1383.1666666666667,0
41496,1383.2,0
41497,1383.2333333333333,0
41498,1383.2666666666667,0
41499,1383.3,0
41500,1383.3333333333333,0
41501,1383.3666666666668,0
41502,1383.4,0
41503,1383.4333333333332,0
41504,1383.4666666666667,0
41505,1383.5,0
41506,1383.5333333333333,0
41507,1383.5666666666668,0
41508,1383.6,0
41509,1383.6333333333332,0
41510,1383.6666666666667,0
41511,1383.7,0
41512,1383.7333333333333,0
41513,1383.7666666666667,0
41514,1383.8,0
41515,1383.8333333333333,0
41516,1383.8666666666668,0
41517,1383.9,0
41518,1383.9333333333332,0
41519,1383.9666666666667,0
41520,1384.0,0
41521,1384.0333333333333,0
41522,1384.0666666666668,0
41523,1384.1,0
41524,1384.1333333333332,0
41525,1384.1666666666667,0
41526,1384.2,0
41527,1384.2333333333333,0
41528,1384.2666666666667,0
41529,1384.3,0
41530,1384.3333333333333,0
41531,1384.3666666666668,0
41532,1384.4,0
41533,1384.4333333333332,0
41534,1384.4666666666667,0
41535,1384.5,0
41536,1384.5333333333333,0
41537,1384.5666666666668,0
41538,1384.6,0
41539,1384.6333333333332,0
41540,1384.6666666666667,0
41541,1384.7,0
41542,1384.7333333333333,0
41543,1384.7666666666667,0
41544,1384.8,0
41545,1384.8333333333333,0
41546,1384.8666666666668,0
41547,1384.9,0
41548,1384.9333333333332,0
41549,1384.9666666666667,0
41550,1385.0,0
41551,1385.0333333333333,0
41552,1385.0666666666668,0
41553,1385.1,0
41554,1385.1333333333332,0
41555,1385.1666666666667,0
41556,1385.2,0
41557,1385.2333333333333,0
41558,1385.2666666666667,0
41559,1385.3,0
41560,1385.3333333333333,0
41561,1385.3666666666668,0
41562,1385.4,0
41563,1385.4333333333332,0
41564,1385.4666666666667,0
41565,1385.5,0
41566,1385.5333333333333,0
41567,1385.5666666666668,0
41568,1385.6,0
41569,1385.6333333333332,0
41570,1385.6666666666667,0
41571,1385.7,0
41572,1385.7333333333333,0
41573,1385.7666666666667,0
41574,1385.8,0
41575,1385.8333333333333,0
41576,1385.8666666666668,0
41577,1385.9,0
41578,1385.9333333333332,0
41579,1385.9666666666667,0
41580,1386.0,0
41581,1386.0333333333333,0
41582,1386.0666666666668,0
41583,1386.1,0
41584,1386.1333333333332,0
41585,1386.1666666666667,0
41586,1386.2,0
41587,1386.2333333333333,0
41588,1386.2666666666667,0
41589,1386.3,0
41590,1386.3333333333333,0
41591,1386.3666666666668,0
41592,1386.4,0
41593,1386.4333333333332,0
41594,1386.4666666666667,0
41595,1386.5,0
41596,1386.5333333333333,0
41597,1386.5666666666668,0
41598,1386.6,0
41599,1386.6333333333332,0
41600,1386.6666666666667,0
41601,1386.7,0
41602,1386.7333333333333,0
41603,1386.7666666666667,0
41604,1386.8,0
41605,1386.8333333333333,0
41606,1386.8666666666668,0
41607,1386.9,0
41608,1386.9333333333332,0
41609,1386.9666666666667,0
41610,1387.0,0
41611,1387.0333333333333,0
41612,1387.0666666666668,0
41613,1387.1,0
41614,1387.1333333333332,0
41615,1387.1666666666667,0
41616,1387.2,0
41617,1387.2333333333333,0
41618,1387.2666666666667,0
41619,1387.3,0
41620,1387.3333333333333,0
41621,1387.3666666666668,0
41622,1387.4,0
41623,1387.4333333333332,0
41624,1387.4666666666667,0
41625,1387.5,0
41626,1387.5333333333333,0
41627,1387.5666666666668,0
41628,1387.6,0
41629,1387.6333333333332,0
41630,1387.6666666666667,0
41631,1387.7,0
41632,1387.7333333333333,0
41633,1387.7666666666667,0
41634,1387.8,0
41635,1387.8333333333333,0
41636,1387.8666666666668,0
41637,1387.9,0
41638,1387.9333333333332,0
41639,1387.9666666666667,0
41640,1388.0,0
41641,1388.0333333333333,0
41642,1388.0666666666668,0
41643,1388.1,0
41644,1388.1333333333332,0
41645,1388.1666666666667,0
41646,1388.2,0
41647,1388.2333333333333,0
41648,1388.2666666666667,0
41649,1388.3,0
41650,1388.3333333333333,0
41651,1388.3666666666668,0
41652,1388.4,0
41653,1388.4333333333332,0
41654,1388.4666666666667,0
41655,1388.5,0
41656,1388.5333333333333,0
41657,1388.5666666666668,0
41658,1388.6,0
41659,1388.6333333333332,0
41660,1388.6666666666667,0
41661,1388.7,0
41662,1388.7333333333333,0
41663,1388.7666666666667,0
41664,1388.8,0
41665,1388.8333333333333,0
41666,1388.8666666666668,0
41667,1388.9,0
41668,1388.9333333333332,0
41669,1388.9666666666667,0
41670,1389.0,0
41671,1389.0333333333333,0
41672,1389.0666666666668,0
41673,1389.1,0
41674,1389.1333333333332,0
41675,1389.1666666666667,0
41676,1389.2,0
41677,1389.2333333333333,0
41678,1389.2666666666667,0
41679,1389.3,0
41680,1389.3333333333333,0
41681,1389.3666666666668,0
41682,1389.4,0
41683,1389.4333333333332,0
41684,1389.4666666666667,0
41685,1389.5,0
41686,1389.5333333333333,0
41687,1389.5666666666668,0
41688,1389.6,0
41689,1389.6333333333332,0
41690,1389.6666666666667,0
41691,1389.7,0
41692,1389.7333333333333,0
41693,1389.7666666666667,0
41694,1389.8,0
41695,1389.8333333333333,0
41696,1389.8666666666668,0
41697,1389.9,0
41698,1389.9333333333332,0
41699,1389.9666666666667,0
41700,1390.0,0
41701,1390.0333333333333,0
41702,1390.0666666666668,0
41703,1390.1,0
41704,1390.1333333333332,0
41705,1390.1666666666667,0
41706,1390.2,0
41707,1390.2333333333333,0
41708,1390.2666666666667,0
41709,1390.3,0
41710,1390.3333333333333,0
41711,1390.3666666666668,0
41712,1390.4,0
41713,1390.4333333333332,0
41714,1390.4666666666667,0
41715,1390.5,1
41716,1390.5333333333333,1
41717,1390.5666666666668,1
41718,1390.6,1
41719,1390.6333333333332,1
41720,1390.6666666666667,1
41721,1390.7,1
41722,1390.7333333333333,1
41723,1390.7666666666667,1
41724,1390.8,1
41725,1390.8333333333333,1
41726,1390.8666666666668,1
41727,1390.9,1
41728,1390.9333333333332,1
41729,1390.9666666666667,1
41730,1391.0,1
41731,1391.0333333333333,1
41732,1391.0666666666668,1
41733,1391.1,1
41734,1391.1333333333332,1
41735,1391.1666666666667,1
41736,1391.2,1
41737,1391.2333333333333,1
41738,1391.2666666666667,1
41739,1391.3,1
41740,1391.3333333333333,1
41741,1391.3666666666668,1
41742,1391.4,1
41743,1391.4333333333332,1
41744,1391.4666666666667,1
41745,1391.5,1
41746,1391.5333333333333,1
41747,1391.5666666666668,1
41748,1391.6,1
41749,1391.6333333333332,1
41750,1391.6666666666667,1
41751,1391.7,1
41752,1391.7333333333333,1
41753,1391.7666666666667,1
41754,1391.8,1
41755,1391.8333333333333,1
41756,1391.8666666666668,1
41757,1391.9,1
41758,1391.9333333333332,1
41759,1391.9666666666667,1
41760,1392.0,1
41761,1392.0333333333333,1
41762,1392.0666666666668,1
41763,1392.1,1
41764,1392.1333333333332,1
41765,1392.1666666666667,1
41766,1392.2,1
41767,1392.2333333333333,1
41768,1392.2666666666667,1
41769,1392.3,1
41770,1392.3333333333333,1
41771,1392.3666666666668,1
41772,1392.4,1
41773,1392.4333333333332,1
41774,1392.4666666666667,1
41775,1392.5,1
41776,1392.5333333333333,1
41777,1392.5666666666668,1
41778,1392.6,1
41779,1392.6333333333332,1
41780,1392.6666666666667,2
41781,1392.7,2
41782,1392.7333333333333,2
41783,1392.7666666666667,2
41784,1392.8,2
41785,1392.8333333333333,2
41786,1392.8666666666668,2
41787,1392.9,2
41788,1392.9333333333332,2
41789,1392.9666666666667,2
41790,1393.0,2
41791,1393.0333333333333,2
41792,1393.0666666666668,2
41793,1393.1,2
41794,1393.1333333333332,2
