n,t,h
46340,1544.6666666666667,1000
46341,1544.7,1000
46342,1544.7333333333333,1000
46343,1544.7666666666667,1000
46344,1544.8,1000
46345,1544.8333333333333,1000
46346,1544.8666666666668,1000
46347,1544.9,1000
46348,1544.9333333333332,1000
46349,1544.9666666666667,1000
46350,1545.0,1000
46351,1545.0333333333333,1010
46352,1545.0666666666668,1010
46353,1545.1,1010
46354,1545.1333333333332,1010
46355,1545.1666666666667,1010
46356,1545.2,1010
46357,1545.2333333333333,1010
46358,1545.2666666666667,1010
46359,1545.3,1010
46360,1545.3333333333333,1010
46361,1545.3666666666668,1010
46362,1545.4,1010
46363,1545.4333333333332,1010
46364,1545.4666666666667,1010
46365,1545.5,1010
46366,1545.5333333333333,1010
46367,1545.5666666666668,1010
46368,1545.6,1010
46369,1545.6333333333332,1010
46370,1545.6666666666667,1010
46371,1545.7,1020
46372,1545.7333333333333,1020
46373,1545.7666666666667,1020
46374,1545.8,1020
46375,1545.8333333333333,1020
46376,1545.8666666666668,1020
46377,1545.9,1020
46378,1545.9333333333332,1020
46379,1545.9666666666667,1020
46380,1546.0,1020
46381,1546.0333333333333,1020
46382,1546.0666666666668,1020
46383,1546.1,1020
46384,1546.1333333333332,1020
46385,1546.1666666666667,1020
46386,1546.2,1020
46387,1546.2333333333333,1020
46388,1546.2666666666667,1020
46389,1546.3,1020
46390,1546.3333333333333,1020
46391,1546.3666666666668,1020
46392,1546.4,1020
46393,1546.4333333333332,1020
46394,1546.4666666666667,1030
46395,1546.5,1030
46396,1546.5333333333333,1030
46397,1546.5666666666668,1030
46398,1546.6,1030
46399,1546.6333333333332,1030
46400,1546.6666666666667,1030
46401,1546.7,1030
46402,1546.7333333333333,1030
46403,1546.7666666666667,1030
46404,1546.8,1030
46405,1546.8333333333333,1030
46406,1546.8666666666668,1030
46407,1546.9,1030
46408,1546.9333333333332,1030
46409,1546.9666666666667,1030
46410,1547.0,1030
46411,1547.0333333333333,1030
46412,1547.0666666666668,1030
46413,1547.1,1040
46414,1547.1333333333332,1040
46415,1547.1666666666667,1040
46416,1547.2,1040
46417,1547.2333333333333,1040
46418,1547.2666666666667,1040
46419,1547.3,1040
46420,1547.3333333333333,1040
46421,1547.3666666666668,1040
46422,1547.4,1040
46423,1547.4333333333332,1040
46424,1547.4666666666667,1040
46425,1547.5,1040
46426,1547.5333333333333,1040
46427,1547.5666666666668,1040
46428,1547.6,1040
46429,1547.6333333333332,1040
46430,1547.6666666666667,1040
46431,1547.7,1040
46432,1547.7333333333333,1040
46433,1547.7666666666667,1040
46434,1547.8,1040
46435,1547.8333333333333,1050
46436,1547.8666666666668,1050
46437,1547.9,1050
46438,1547.9333333333332,1050
46439,1547.9666666666667,1050
46440,1548.0,1050
46441,1548.0333333333333,1050
46442,1548.0666666666668,1050
46443,1548.1,1050
46444,1548.1333333333332,1050
46445,1548.1666666666667,1050
46446,1548.2,1050
46447,1548.2333333333333,1050
46448,1548.2666666666667,1050
46449,1548.3,1050
46450,1548.3333333333333,1050
46451,1548.3666666666668,1050
46452,1548.4,1050
46453,1548.4333333333332,1050
46454,1548.4666666666667,1050
46455,1548.5,1050
46456,1548.5333333333333,1060
46457,1548.5666666666668,1060
46458,1548.6,1060
46459,1548.6333333333332,1060
46460,1548.6666666666667,1060
46461,1548.7,1060
46462,1548.7333333333333,1060
46463,1548.7666666666667,1060
46464,1548.8,1060
46465,1548.8333333333333,1060
46466,1548.8666666666668,1060
46467,1548.9,1060
46468,1548.9333333333332,1060
46469,1548.9666666666667,1060
46470,1549.0,1060
46471,1549.0333333333333,1060
46472,1549.0666666666668,1060
46473,1549.1,1060
46474,1549.1333333333332,1060
46475,1549.1666666666667,1070
46476,1549.2,1070
46477,1549.2333333333333,1070
46478,1549.2666666666667,1070
46479,1549.3,1070
46480,1549.3333333333333,1070
46481,1549.3666666666668,1070
46482,1549.4,1070
46483,1549.4333333333332,1070
46484,1549.4666666666667,1070
46485,1549.5,1070
46486,1549.5333333333333,1070
46487,1549.5666666666668,1070
46488,1549.6,1070
46489,1549.6333333333332,1070
46490,1549.6666666666667,1070
46491,1549.7,1070
46492,1549.7333333333333,1070
46493,1549.7666666666667,1070
46494,1549.8,1070
46495,1549.8333333333333,1070
46496,1549.8666666666668,1080
46497,1549.9,1080
46498,1549.9333333333332,1080
46499,1549.9666666666667,1080
46500,1550.0,1080
46501,1550.0333333333333,1080
46502,1550.0666666666668,1080
46503,1550.1,1080
46504,1550.1333333333332,1080
46505,1550.1666666666667,1080
46506,1550.2,1080
46507,1550.2333333333333,1080
46508,1550.2666666666667,1080
46509,1550.3,1080
46510,1550.3333333333333,1080
46511,1550.3666666666668,1080
46512,1550.4,1080
46513,1550.4333333333332,1080
46514,1550.4666666666667,1080
46515,1550.5,1080
46516,1550.5333333333333,1080
46517,1550.5666666666668,1080
46518,1550.6,1080
46519,1550.6333333333332,1090
46520,1550.6666666666667,1090
46521,1550.7,1090
46522,1550.7333333333333,1090
46523,1550.7666666666667,1090
46524,1550.8,1090
46525,1550.8333333333333,1090
46526,1550.8666666666668,1090
46527,1550.9,1090
46528,1550.9333333333332,1090
46529,1550.9666666666667,1090
46530,1551.0,1090
46531,1551.0333333333333,1090
46532,1551.0666666666668,1090
46533,1551.1,1090
46534,1551.1333333333332,1090
46535,1551.1666666666667,1090
46536,1551.2,1090
46537,1551.2333333333333,1090
46538,1551.2666666666667,1090
46539,1551.3,1090
46540,1551.3333333333333,1090
46541,1551.3666666666668,1090
46542,1551.4,1100
46543,1551.4333333333332,1100
46544,1551.4666666666667,1100
46545,1551.5,1100
46546,1551.5333333333333,1100
46547,1551.5666666666668,1100
46548,1551.6,1100
46549,1551.6333333333332,1100
46550,1551.6666666666667,1100
46551,1551.7,1100
46552,1551.7333333333333,1100
46553,1551.7666666666667,1100
46554,1551.8,1100
46555,1551.8333333333333,1100
46556,1551.8666666666668,1100
46557,1551.9,1100
46558,1551.9333333333332,1100
46559,1551.9666666666667,1100
46560,1552.0,1110
46561,1552.0333333333333,1110
46562,1552.0666666666668,1110
46563,1552.1,1110
46564,1552.1333333333332,1110
46565,1552.1666666666667,1110
46566,1552.2,1110
46567,1552.2333333333333,1110
46568,1552.2666666666667,1110
46569,1552.3,1110
46570,1552.3333333333333,1110
46571,1552.3666666666668,1110
46572,1552.4,1110
46573,1552.4333333333332,1110
46574,1552.4666666666667,1110
46575,1552.5,1110
46576,1552.5333333333333,1110
46577,1552.5666666666668,1110
46578,1552.6,1110
46579,1552.6333333333332,1110
46580,1552.6666666666667,1110
46581,1552.7,1120
46582,1552.7333333333333,1120
46583,1552.7666666666667,1120
46584,1552.8,1120
46585,1552.8333333333333,1120
46586,1552.8666666666668,1120
46587,1552.9,1120
46588,1552.9333333333332,1120
46589,1552.9666666666667,1120
46590,1553.0,1120
46591,1553.0333333333333,1120
46592,1553.0666666666668,1120
46593,1553.1,1120
46594,1553.1333333333332,1120
46595,1553.1666666666667,1120
46596,1553.2,1120
46597,1553.2333333333333,1120
46598,1553.2666666666667,1120
46599,1553.3,1120
46600,1553.3333333333333,1120
46601,1553.3666666666668,1130
46602,1553.4,1130
46603,1553.4333333333332,1130
46604,1553.4666666666667,1130
46605,1553.5,1130
46606,1553.5333333333333,1130
46607,1553.5666666666668,1130
46608,1553.6,1130
46609,1553.6333333333332,1130
46610,1553.6666666666667,1130
46611,1553.7,1130
46612,1553.7333333333333,1130
46613,1553.7666666666667,1130
46614,1553.8,1130
46615,1553.8333333333333,1130
46616,1553.8666666666668,1130
46617,1553.9,1130
46618,1553.9333333333332,1130
46619,1553.9666666666667,1130
46620,1554.0,1130
46621,1554.0333333333333,1140
46622,1554.0666666666668,1140
46623,1554.1,1140
46624,1554.1333333333332,1140
46625,1554.1666666666667,1140
46626,1554.2,1140
46627,1554.2333333333333,1140
46628,1554.2666666666667,1140
46629,1554.3,1140
