n,t,v
41470,1382.3333333333333,0
41471,1382.3666666666668,0
41472,1382.4,0
41473,1382.4333333333332,0
41474,1382.4666666666667,0
41475,1382.5,0
41476,1382.5333333333333,1
41477,1382.5666666666668,1
41478,1382.6,1
41479,1382.6333333333332,2
41480,1382.6666666666667,2
41481,1382.7,2
41482,1382.7333333333333,2
41483,1382.7666666666667,3
41484,1382.8,3
41485,1382.8333333333333,3
41486,1382.8666666666668,3
41487,1382.9,4
41488,1382.9333333333332,4
41489,1382.9666666666667,4
41490,1383.0,5
41491,1383.0333333333333,5
41492,1383.0666666666668,5
41493,1383.1,5
41494,1383.1333333333332,6
41495,1383.1666666666667,6
41496,1383.2,6
41497,1383.2333333333333,7
41498,1383.2666666666667,7
41499,1383.3,7
41500,1383.3333333333333,7
41501,1383.3666666666668,8
41502,1383.4,8
41503,1383.4333333333332,8
41504,1383.4666666666667,9
41505,1383.5,9
41506,1383.5333333333333,9
41507,1383.5666666666668,9
41508,1383.6,10
41509,1383.6333333333332,10
41510,1383.6666666666667,10
41511,1383.7,10
41512,1383.7333333333333,10
41513,1383.7666666666667,11
41514,1383.8,11
41515,1383.8333333333333,11
41516,1383.8666666666668,11
41517,1383.9,11
41518,1383.9333333333332,11
41519,1383.9666666666667,12
41520,1384.0,12
41521,1384.0333333333333,12
41522,1384.0666666666668,12
41523,1384.1,12
41524,1384.1333333333332,12
41525,1384.1666666666667,12
41526,1384.2,12
41527,1384.2333333333333,12
41528,1384.2666666666667,12
41529,1384.3,13
41530,1384.3333333333333,13
41531,1384.3666666666668,13
41532,1384.4,13
41533,1384.4333333333332,13
41534,1384.4666666666667,13
41535,1384.5,13
41536,1384.5333333333333,13
41537,1384.5666666666668,14
41538,1384.6,14
41539,1384.6333333333332,14
41540,1384.6666666666667,14
41541,1384.7,14
41542,1384.7333333333333,14
41543,1384.7666666666667,14
41544,1384.8,14
41545,1384.8333333333333,15
41546,1384.8666666666668,15
41547,1384.9,15
41548,1384.9333333333332,15
41549,1384.9666666666667,15
41550,1385.0,15
41551,1385.0333333333333,15
41552,1385.0666666666668,15
41553,1385.1,15
41554,1385.1333333333332,15
41555,1385.1666666666667,15
41556,1385.2,15
41557,1385.2333333333333,15
41558,1385.2666666666667,15
41559,1385.3,15
41560,1385.3333333333333,16
41561,1385.3666666666668,16
41562,1385.4,17
41563,1385.4333333333332,17
41564,1385.4666666666667,17
41565,1385.5,18
41566,1385.5333333333333,18
41567,1385.5666666666668,19
41568,1385.6,19
41569,1385.6333333333332,20
41570,1385.6666666666667,20
41571,1385.7,20
41572,1385.7333333333333,21
41573,1385.7666666666667,21
41574,1385.8,22
41575,1385.8333333333333,22
41576,1385.8666666666668,22
41577,1385.9,23
41578,1385.9333333333332,23
41579,1385.9666666666667,23
41580,1386.0,24
41581,1386.0333333333333,24
41582,1386.0666666666668,24
41583,1386.1,25
41584,1386.1333333333332,25
41585,1386.1666666666667,25
41586,1386.2,25
41587,1386.2333333333333,26
41588,1386.2666666666667,27
41589,1386.3,27
41590,1386.3333333333333,28
41591,1386.3666666666668,28
41592,1386.4,28
41593,1386.4333333333332,29
41594,1386.4666666666667,29
41595,1386.5,30
41596,1386.5333333333333,30
41597,1386.5666666666668,31
41598,1386.6,31
41599,1386.6333333333332,31
41600,1386.6666666666667,32
41601,1386.7,32
41602,1386.7333333333333,32
41603,1386.7666666666667,33
41604,1386.8,33
41605,1386.8333333333333,34
41606,1386.8666666666668,34
41607,1386.9,34
41608,1386.9333333333332,35
41609,1386.9666666666667,35
41610,1387.0,35
41611,1387.0333333333333,36
41612,1387.0666666666668,36
41613,1387.1,36
41614,1387.1333333333332,37
41615,1387.1666666666667,37
41616,1387.2,38
41617,1387.2333333333333,38
41618,1387.2666666666667,38
41619,1387.3,39
41620,1387.3333333333333,39
41621,1387.3666666666668,40
41622,1387.4,40
41623,1387.4333333333332,41
41624,1387.4666666666667,41
41625,1387.5,41
41626,1387.5333333333333,41
41627,1387.5666666666668,42
41628,1387.6,42
41629,1387.6333333333332,42
41630,1387.6666666666667,42
41631,1387.7,43
41632,1387.7333333333333,43
41633,1387.7666666666667,43
41634,1387.8,44
41635,1387.8333333333333,44
41636,1387.8666666666668,44
41637,1387.9,44
41638,1387.9333333333332,45
41639,1387.9666666666667,45
41640,1388.0,45
41641,1388.0333333333333,46
41642,1388.0666666666668,46
41643,1388.1,46
41644,1388.1333333333332,47
41645,1388.1666666666667,47
41646,1388.2,47
41647,1388.2333333333333,47
41648,1388.2666666666667,48
41649,1388.3,48
41650,1388.3333333333333,48
41651,1388.3666666666668,48
41652,1388.4,49
41653,1388.4333333333332,49
41654,1388.4666666666667,49
41655,1388.5,50
41656,1388.5333333333333,50
41657,1388.5666666666668,50
41658,1388.6,50
41659,1388.6333333333332,51
41660,1388.6666666666667,51
41661,1388.7,52
41662,1388.7333333333333,52
41663,1388.7666666666667,52
41664,1388.8,52
41665,1388.8333333333333,53
41666,1388.8666666666668,53
41667,1388.9,53
41668,1388.9333333333332,54
41669,1388.9666666666667,54
41670,1389.0,55
41671,1389.0333333333333,55
41672,1389.0666666666668,56
41673,1389.1,56
41674,1389.1333333333332,56
41675,1389.1666666666667,57
41676,1389.2,57
41677,1389.2333333333333,58
41678,1389.2666666666667,58
41679,1389.3,59
41680,1389.3333333333333,59
41681,1389.3666666666668,60
41682,1389.4,60
41683,1389.4333333333332,61
41684,1389.4666666666667,61
41685,1389.5,61
41686,1389.5333333333333,62
41687,1389.5666666666668,62
41688,1389.6,63
41689,1389.6333333333332,63
41690,1389.6666666666667,63
41691,1389.7,64
41692,1389.7333333333333,64
41693,1389.7666666666667,64
41694,1389.8,65
41695,1389.8333333333333,65
41696,1389.8666666666668,66
41697,1389.9,66
41698,1389.9333333333332,67
41699,1389.9666666666667,67
41700,1390.0,68
41701,1390.0333333333333,68
41702,1390.0666666666668,69
41703,1390.1,69
41704,1390.1333333333332,70
41705,1390.1666666666667,70
41706,1390.2,70
41707,1390.2333333333333,71
41708,1390.2666666666667,71
41709,1390.3,71
41710,1390.3333333333333,72
41711,1390.3666666666668,72
41712,1390.4,72
41713,1390.4333333333332,73
41714,1390.4666666666667,73
41715,1390.5,74
41716,1390.5333333333333,74
41717,1390.5666666666668,75
41718,1390.6,75
41719,1390.6333333333332,75
41720,1390.6666666666667,76
41721,1390.7,76
41722,1390.7333333333333,76
41723,1390.7666666666667,77
41724,1390.8,77
41725,1390.8333333333333,77
41726,1390.8666666666668,78
41727,1390.9,78
41728,1390.9333333333332,78
41729,1390.9666666666667,78
41730,1391.0,79
41731,1391.0333333333333,80
41732,1391.0666666666668,80
41733,1391.1,80
41734,1391.1333333333332,81
41735,1391.1666666666667,81
41736,1391.2,81
41737,1391.2333333333333,82
41738,1391.2666666666667,82
41739,1391.3,82
41740,1391.3333333333333,82
41741,1391.3666666666668,83
41742,1391.4,84
41743,1391.4333333333332,84
41744,1391.4666666666667,84
41745,1391.5,85
41746,1391.5333333333333,85
41747,1391.5666666666668,86
41748,1391.6,86
41749,1391.6333333333332,86
41750,1391.6666666666667,87
41751,1391.7,87
41752,1391.7333333333333,88
41753,1391.7666666666667,88
41754,1391.8,89
41755,1391.8333333333333,89
41756,1391.8666666666668,89
41757,1391.9,90
41758,1391.9333333333332,90
41759,1391.9666666666667,91
41760,1392.0,91
41761,1392.0333333333333,91
41762,1392.0666666666668,92
41763,1392.1,92
41764,1392.1333333333332,93
41765,1392.1666666666667,93
41766,1392.2,93
41767,1392.2333333333333,93
41768,1392.2666666666667,94
41769,1392.3,94
41770,1392.3333333333333,95
41771,1392.3666666666668,95
41772,1392.4,95
41773,1392.4333333333332,96
41774,1392.4666666666667,96
41775,1392.5,96
41776,1392.5333333333333,97
41777,1392.5666666666668,97
41778,1392.6,98
41779,1392.6333333333332,98
41780,1392.6666666666667,99
41781,1392.7,100
41782,1392.7333333333333,100
41783,1392.7666666666667,100
41784,1392.8,101
41785,1392.8333333333333,101
41786,1392.8666666666668,102
41787,1392.9,102
41788,1392.9333333333332,103
41789,1392.9666666666667,103
41790,1393.0,103
41791,1393.0333333333333,104
41792,1393.0666666666668,104
41793,1393.1,104
41794,1393.1333333333332,105
